"projectID","deviceID","tsStart","tsEnd"
1,0,NA,NA
1,0,NA,NA
1,0,NA,NA
1,0,NA,NA
1,0,NA,NA
1,0,1652745600,1676587900
1,0,1654092800,NA
1,0,1735689600,NA
1,0,1765227600,1770858200
1,0,1775508400,NA
1,0,1777593600,NA
1,0,1777593600,NA
1,0,1777593600,NA
1,0,1777593600,NA
1,0,1779048000,NA
1,0,1779476400,NA
1,0,1779753600,NA
1,0,1782345600,NA
1,0,1786627800,NA
1,11,1432252800,1463616000
1,11,1465070300,1589634000
1,11,1602720000,1619395200
1,13,1528329600,1575320400
1,13,1575325800,1596499200
1,13,1596502800,1619568000
1,13,1620432000,1629354500
1,13,1646410900,1666363300
1,15,1499675400,1539216000
1,15,1541462400,1619971200
1,27,1435795200,1709911200
1,29,1596499200,1636384500
1,29,1665104400,1690739500
1,52,1437609600,1437955200
1,52,1437955200,1438128000
1,52,1438128000,1447027200
1,52,1460151900,1584057600
1,52,1593010200,1618444800
1,53,1499418000,1529971200
1,53,1530921600,1547078400
1,53,1620432000,1714065300
1,73,1431302400,1481068800
1,73,1489763800,1521072000
1,84,1472428800,1492214400
1,84,1496188800,1510099200
1,84,1510099200,1523223000
1,84,1523223000,1563408000
1,88,1431302400,1482264000
1,88,1482264000,1492964100
1,89,1432252800,1649943000
1,91,1472058900,1494460800
1,91,1494460800,1510099200
1,91,1510099200,1523027500
1,91,1523289600,1552262400
1,91,1571702400,1596672000
1,96,1471991400,1481673600
1,96,1481673600,1495584000
1,103,NA,NA
1,105,NA,NA
1,106,1438128000,1449014400
1,106,1450310400,1713879800
1,109,1493024400,1499439600
1,109,1499439600,1499898600
1,109,1499963400,1531170600
1,109,1573084800,NA
1,122,1472161200,1473415200
1,122,1473455400,1482174000
1,122,1482174000,1490227200
1,122,1490313600,1493042400
1,122,1493042400,1497830400
1,122,1497830400,1551916800
1,122,1600819200,1603756800
1,122,1603756800,1626739200
1,127,1430956800,1433770200
1,128,1596067200,1631281200
1,141,1472077200,1509667200
1,142,1416182400,1429105500
1,142,1429105500,1479168000
1,142,1479168000,1491219000
1,142,1491220700,1675810800
1,152,1411689600,1434672000
1,152,1436896800,1443571200
1,152,1460152300,1461322100
1,152,1461340500,1479254400
1,152,1479254400,1559779200
1,152,1572912000,1577923200
1,152,1580155100,1596067200
1,154,1429700400,1478563200
1,154,1478563200,1491319800
1,154,1491321600,1499796000
1,154,1499801300,1634330400
1,157,1430870400,1492387200
1,157,1492387200,1572566400
1,157,1632853800,1697590900
1,172,1430136000,1618781400
1,173,1430330400,1443866400
1,173,1443902500,1473427800
1,174,NA,NA
1,175,NA,NA
1,178,1534550400,1559520000
1,178,1559520000,NA
1,189,1429894800,1478822400
1,189,1478822400,1491204600
1,189,1491208200,1632855600
1,189,1649943000,1680268900
1,194,1430236800,1507039200
1,194,1651104000,1677094900
1,202,1492794000,1521158400
1,202,1535673600,1567987200
1,207,1431171000,1480982400
1,207,1480982400,1489968000
1,207,1489968000,1525305600
1,210,1529798400,1534464000
1,217,1428602400,1447977600
1,217,1447977600,1479686400
1,217,1479686400,1491782400
1,217,1491782400,1575324000
1,217,1575590400,1575673200
1,217,1603238400,1610596200
1,222,1433462400,1472169600
1,223,1429642800,1478563200
1,223,1478563200,1492189200
1,223,1492189200,1544313600
1,223,1569024000,1585094400
1,223,1585094400,1587470300
1,223,1587477600,1620518400
1,224,1429574400,1478563200
1,224,1478563200,1491350400
1,224,1491399000,1634305800
1,229,NA,NA
1,237,1430956800,1442448000
1,237,1462463100,1465998200
1,237,1466009500,1482157800
1,237,1492776000,1676501400
1,250,1656244700,1667260800
1,251,1406764800,1479513600
1,251,1479513600,1578700800
1,251,1606348800,1615680000
1,251,1623254400,1630080000
1,251,1631188700,1631188700
1,252,1398384000,1407715200
1,252,1407715200,1416528000
1,252,1416528000,1427932800
1,252,1427932800,1479772800
1,252,1479772800,1492905600
1,253,NA,NA
1,254,1396656000,1407715200
1,254,1407715200,1415750400
1,254,1415750400,1428583600
1,254,1428583600,1480104000
1,254,1480104000,1492387200
1,254,1492387200,1649944800
1,256,1403568000,1428969600
1,256,1429034400,1478649600
1,256,1478649600,1491312600
1,256,1491314400,1677096000
1,257,1557104400,1597104000
1,258,1397088000,1408924800
1,258,1408924800,1482152400
1,258,1482152400,1492473600
1,258,1492473600,1513728000
1,258,1521072000,1631491200
1,262,1399507200,1416355200
1,262,1416355200,1429448400
1,262,1429448400,1479168000
1,262,1479168000,1493998200
1,262,1.494e+09,1650200400
1,262,1651104000,1680214500
1,263,1396656000,1407801600
1,263,1407801600,1415750400
1,263,1415750400,1428403500
1,263,1428403500,1479254400
1,263,1479254400,1489566600
1,263,1489568400,1675457000
1,264,1399334400,1411603200
1,264,1411603200,1415664000
1,264,1415664000,1428591600
1,264,1428591600,1479427200
1,264,1479427200,1491609600
1,264,1491609600,1519257600
1,264,1573430400,1659371300
1,267,1398643200,1416355200
1,267,1416355200,1417359600
1,267,1429462100,1478563200
1,267,1478563200,1491388200
1,267,1491397200,1606348800
1,269,1398988800,1407283200
1,269,1407283200,1413676800
1,269,1429713000,1478822400
1,269,1478822400,1491294600
1,269,1493888400,1587477600
1,269,1620950400,1666364400
1,272,1399334400,1415750400
1,272,1415750400,1428682500
1,272,1428682500,1479427200
1,272,1479427200,1491609600
1,272,1491609600,1583694000
1,275,1398038400,1415664000
1,275,1415664000,1431129600
1,275,1431129600,1491868800
1,276,1403481600,1416182400
1,276,1429091100,1479168000
1,276,1479168000,1491327000
1,276,1491328800,1573344000
1,276,1620432000,1681590900
1,277,1397779200,1462276900
1,277,1462276900,1467394200
1,277,1467394300,1479200400
1,277,1479200400,1492079400
1,277,1492079500,1620570500
1,278,NA,NA
1,280,1629354600,1647095600
1,280,1675385900,1678320000
1,281,1398556800,1403049600
1,281,1403049600,1415750400
1,281,1415750400,1428399000
1,281,1428399000,1482192000
1,282,1397433600,1416355200
1,282,1416355200,1429456800
1,282,1429456800,1478563200
1,282,1478563200,1491402600
1,282,1491404400,1597017600
1,284,1398297600,1407369600
1,284,1407369600,1479772800
1,284,1479772800,1492473600
1,284,1492473600,1559260800
1,284,1572912000,1576800000
1,284,1585072800,1603756800
1,284,1603843200,1618239600
1,284,1618358400,1675457300
1,286,1404950400,1461944600
1,286,1461957200,1482192000
1,288,1396656000,1403049600
1,288,1403049600,1407801600
1,288,1407801600,1416700800
